commit_sha,description,num_files_changed,tokens_naive_A,tokens_standard_B,tokens_graph_C,diff_tokens,graph_summary_tokens,reduction_A_to_C,reduction_B_to_C,cost_A,cost_B,cost_C,quality_A,quality_B,quality_C,changed_nodes,impacted_nodes,impacted_files
5ed913d,docs: add hero banner to README,1,54876,2874,171,106,65,320.9,16.8,0.176628,0.020622,0.012513,6,8,9,0,0,0
eff0fbb,"chore: add argument-hint to skills, document custom hook events",4,55221,2077,536,451,85,103.0,3.9,0.177663,0.018231,0.013608,6,8,9,0,0,0
2d16a88,feat: switch init to portable uvx-based MCP config,11,57538,12155,3337,2768,569,17.2,3.6,0.184614,0.048465,0.022011,7,7,9,6,129,17
f61c7e7,feat: add SessionStart hook to prefer graph tools,2,55206,861,501,436,65,110.2,1.7,0.177618,0.014583,0.013503,6,8,9,0,0,0
982de84,fix: correct plugin.json schema for marketplace,1,55011,403,296,241,55,185.8,1.4,0.177033,0.013209,0.012888,5,8,9,0,0,0
6f0d140,fix: resolve all mypy type errors,4,55590,18392,1290,820,470,43.1,14.3,0.178770,0.067176,0.015870,7,7,10,91,140,15
14554cf,fix: resolve all 24 audit issues across code/tests/docs/CI,12,68996,43418,14656,14226,430,4.7,3.0,0.218988,0.142254,0.055968,7,6,9,217,69,11
5e21a36,fix: auto-handle spaces in paths during init,3,55769,3544,1511,999,512,36.9,2.3,0.179307,0.022632,0.016533,7,7,9,6,129,17
01e179b,fix: add name field to skills and register in plugin.json,5,55389,2710,704,619,85,78.7,3.8,0.178167,0.020130,0.014112,6,8,9,0,0,0
84d712d,chore: bump version to 1.6.0,8,56526,8770,1856,1756,100,30.5,4.7,0.181578,0.038310,0.017568,6,8,9,0,0,0
